Site,Col_Company,Col_Recruit,Col_detail,Col_url
Job_Korea,한국모니터링시스템,용접 자동화 설비 S/W 개발 (비전과 제어),"서울 영등포구, 신입·경력, 대졸, 정규직",https://www.jobkorea.co.kr/Recruit/GI_Read/49679719?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&listno=1&sc=552
Job_Korea,헬스앤바이오㈜,[케어팟] 생활가전 하드웨어 개발경력,"서울 강남구, 신입·경력, 초대졸, 정규직",https://www.jobkorea.co.kr/Recruit/GI_Read/49679521?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&listno=2&sc=552
Job_Korea,㈜휴먼교육센터,[국비최대무료/취업연계/기숙사제공]AI인공지능/빅데이터/풀스택/부트캠프,"충남 천안시, 신입·경력, 학력무관, 인턴",https://www.jobkorea.co.kr/Recruit/GI_Read/49572243?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&listno=3&sc=552
Job_Korea,웍스피어(유),[웍스피어] 데이터분석가 (마케팅 DA) (4년이상),"대한민국 서울특별시, 신입·경력, 학력무관, 정규직",https://www.jobkorea.co.kr/Recruit/GI_Read/49576796?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&listno=1&sc=630
Job_Korea,콘센트릭스서비스코리아,데이터분석태깅/기획,"서울 강남구, 신입·경력, 학력무관, 정규직",https://www.jobkorea.co.kr/Recruit/GI_Read/49654471?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&listno=2&sc=630
Job_Korea,한국모니터링시스템,용접 자동화 설비 S/W 개발 (비전과 제어),"서울 영등포구, 신입·경력, 대졸, 정규직",https://www.jobkorea.co.kr/Recruit/GI_Read/49679719?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&listno=1&sc=808
Job_Korea,보람상조개발㈜,[보람그룹] CRM 데이터분석(DA) 채용,"서울 중구, 신입·경력, 학력무관, 정규직",https://www.jobkorea.co.kr/Recruit/GI_Read/49346658?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&listno=3&sc=630
Job_Korea,피스피스스튜디오,피스피스스튜디오㈜ 각 부문 채용,"서울 중구, 신입·경력, 학력무관, 정규직",https://www.jobkorea.co.kr/Recruit/GI_Read/49582328?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&listno=4&sc=630
Job_Korea,㈜피알앤디컴퍼니,[ 헤이딜러 ] zero 평가사 운영 매니저,"서울 서초구, 신입·경력, 학력무관, 정규직",https://www.jobkorea.co.kr/Recruit/GI_Read/49479855?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&listno=5&sc=630
Job_Korea,헬스앤바이오㈜,[케어팟] 생활가전 하드웨어 개발경력,"서울 강남구, 신입·경력, 초대졸, 정규직",https://www.jobkorea.co.kr/Recruit/GI_Read/49679521?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&listno=2&sc=808
Job_Korea,넛지헬스케어㈜,[캐시워크] 데이터분석 담당 채용전환형 인턴,"서울 강남구, 신입·경력, 대졸, 정규직",https://www.jobkorea.co.kr/Recruit/GI_Read/49326262?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&listno=6&sc=630
Job_Korea,넛지헬스케어㈜,[캐시워크-병역특례] 데이터분석 병역특례 대상자 모집,"서울 강남구, 경력무관, 학력무관, 인턴",https://www.jobkorea.co.kr/Recruit/GI_Read/49323956?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&listno=7&sc=630
Job_Korea,송파여성인력개발센터,[전액지원] AX융합 데이터분석·시각화 전문인력 양성과정 교육생모집,"서울 송파구, 경력무관, 초대졸, 인턴",https://www.jobkorea.co.kr/Recruit/GI_Read/49365303?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&listno=8&sc=630
Job_Korea,㈜휴먼교육센터,[국비최대무료/취업연계/기숙사제공]AI인공지능/빅데이터/풀스택/부트캠프,"충남 천안시, 신입·경력, 학력무관, 인턴",https://www.jobkorea.co.kr/Recruit/GI_Read/49572243?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&listno=3&sc=808
Job_Korea,㈜아크라인소프트,sw개발 및 데이터분석,"서울 금천구, 신입·경력, 대졸, 정규직",https://www.jobkorea.co.kr/Recruit/GI_Read/49646526?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&listno=9&sc=630
Job_Korea,㈜아우라맨션,백엔드개발자·AI데이터분석·마케터 정규직 채용,"서울 광진구, 경력무관, 학력무관, 정규직",https://www.jobkorea.co.kr/Recruit/GI_Read/49509486?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&listno=10&sc=630
Job_Korea,㈜팔팔판다중고차 수원1호지점,수원]중고차 전략기획실 담당자(시장조사·데이터분석·마케팅기획),"경기 수원시, 신입·경력, 학력무관, 정규직",https://www.jobkorea.co.kr/Recruit/GI_Read/49534456?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&listno=11&sc=630
Job_Korea,㈜파오스파트너스,"(주)파오스파트너스 -DB관리, DB생성, DB분석 채용","서울 용산구, 경력무관, 초대졸, 정규직",https://www.jobkorea.co.kr/Recruit/GI_Read/49632265?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&listno=12&sc=630
Job_Korea,계양전기㈜,계양전기㈜ 2026년 3분기 경력사원 2차 채용,"서울 강남구, 신입·경력, 고졸, 정규직",https://www.jobkorea.co.kr/Recruit/GI_Read/49633184?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&listno=13&sc=630
Job_Korea,㈜텔몬,"온라인마케팅, 마케팅기획 관리, 사무보조데이터분석","서울 금천구, 신입·경력, 학력무관, 정규직",https://www.jobkorea.co.kr/Recruit/GI_Read/49549120?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&listno=14&sc=630
Job_Korea,팀스파르타㈜,[대규모 모집/재택근무] 2026 데이터분석 튜터 모집,"대한민국 서울특별시, 신입·경력, 학력무관, 프리랜서",https://www.jobkorea.co.kr/Recruit/GI_Read/49636062?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&listno=15&sc=630
Job_Korea,㈜스윗스위치,온라인 커머스 MD 채용-스마트스토어/자사몰 운영·매출관리·데이터분석,"서울 마포구, 경력무관, 초대졸, 정규직",https://www.jobkorea.co.kr/Recruit/GI_Read/49512739?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&listno=16&sc=630
Job_Korea,㈜티오에스코리아,[한국평가데이터/일7H근무/월288만]데이터분석 자체직 채용,"서울 영등포구, 경력무관, 초대졸, 계약직",https://www.jobkorea.co.kr/Recruit/GI_Read/49613015?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&listno=17&sc=630
Job_Korea,글로빛㈜,"[글로빛] 빅데이터분석,AI(머신러닝,딥러닝) 가능한 박사님 모십니다","서울 서초구, 경력무관, 박사, 프리랜서",https://www.jobkorea.co.kr/Recruit/GI_Read/49318769?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&listno=18&sc=630
Job_Korea,(주)우아한형제들,각 부문별 경력/신입 인재영입,"서울, 신입·경력, 학력무관, 계약직",https://www.jobkorea.co.kr/Recruit/GI_Read/47594333?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&listno=19&sc=630
