Site,Col_Company,Col_Recruit,Col_detail,Col_url
Saramin,(주)디케이비엠시,[DKBMC] Tableau 및데이터분석가 채용(신입/경력),"서울강남구, 신입·경력, 초대졸↑, 정규직·계약직",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54476321&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=4c567513-9751-4cab-afb0-b04d9c055138
Saramin,(주)바른인사컨설팅,[외국계/복리후생 上]Data Support specialist (데이터분석/KPI),"서울강남구, 경력무관, 대졸↑, 파견직 (정규직 전환가능)·파견직",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54573166&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=4c567513-9751-4cab-afb0-b04d9c055138
Saramin,넛지헬스케어(주),[캐시워크]데이터분석담당 채용전환형 인턴,"서울강남구, 신입, 대졸↑, 인턴직",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53971512&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=4c567513-9751-4cab-afb0-b04d9c055138
Saramin,(주)에치와이,(주)에치와이(한국야쿠르트)데이터분석가 경력 채용,"서울서초구, 경력5년↑, 대졸↑, 정규직",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54351296&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=4c567513-9751-4cab-afb0-b04d9c055138
Saramin,(주)하쿠호도제일,[하쿠호도제일] AI데이터분석팀 경력직 모집,"서울마포구, 경력 2~5년, 대졸↑, 계약직",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54582960&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=4c567513-9751-4cab-afb0-b04d9c055138
Saramin,팀스파르타(주),[대규모 모집/재택근무] 2026데이터분석튜터 모집,"서울강남구, 경력1년↑, 학력무관, 프리랜서",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54465267&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=4c567513-9751-4cab-afb0-b04d9c055138
Saramin,(주)그루넷,데이터분석/Python/AI LLM RAG/SAS 인재 채용/서비스기획 및 개,"서울강남구, 신입·경력, 대졸↑, 정규직",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54519167&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=4c567513-9751-4cab-afb0-b04d9c055138
Saramin,(주)트리플아이,[지능정보빅데이터센터/(주)트리플아이]데이터분석가채용,"부산서구, 신입·경력, 대졸↑, 계약직",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54509008&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=4c567513-9751-4cab-afb0-b04d9c055138
Saramin,넛지헬스케어(주),[캐시워크]데이터분석가 - 석사/박사,"서울강남구, 경력무관, 석사↑, 정규직",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53971538&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=4c567513-9751-4cab-afb0-b04d9c055138
Saramin,넛지헬스케어(주),[캐시워크]데이터분석담당 병역특례 대상자 모집,"서울강남구, 경력무관, 학력무관, 전문연구요원·산업기능요원",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54594174&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=4c567513-9751-4cab-afb0-b04d9c055138
